State,TotalHomeless2007,ShelteredHomeless2007,UnshelteredHomeless2007,TotalHomeless2008,ShelteredHomeless2008,UnshelteredHomeless2008,TotalHomeless2009,ShelteredHomeless2009,UnshelteredHomeless2009,TotalHomeless2010,ShelteredHomeless2010,UnshelteredHomeless2010,TotalHomeless2011,ShelteredHomeless2011,UnshelteredHomeless2011,TotalHomeless2012,ShelteredHomeless2012,UnshelteredHomeless2012,TotalHomeless2013,ShelteredHomeless2013,UnshelteredHomeless2013,TotalHomeless2014,ShelteredHomeless2014,UnshelteredHomeless2014,TotalHomeless2015,ShelteredHomeless2015,UnshelteredHomeless2015,TotalHomeless2016,ShelteredHomeless2016,UnshelteredHomeless2016
AK,1642,1387,255,1646,1452,194,1992,1665,327,1863,1671,192,2128,1760,368,1913,1716,197,1946,1741,205,1784,1639,145,1956,1639,317,1940,1498,442
AL,5452,3796,1656,5387,3843,1544,6080,3913,2167,6046,3891,2155,5558,3749,1809,5209,3664,1545,4689,3246,1443,4561,3518,1043,3970,2943,1027,4111,2893,1218
AR,3836,2285,1551,3255,2020,1235,2852,1730,1122,2762,1728,1034,3424,1802,1622,4214,1602,2612,3812,1664,2148,2936,1503,1433,2560,1678,882,2463,1616,847
AZ,14646,8618,6028,12488,6970,5518,14721,8366,6355,13711,7214,6497,10504,7302,3202,11302,8215,3087,10562,7431,3131,10495,7926,2569,9896,6939,2957,9707,6463,3244
CA,138986,48511,90475,136531,46965,89566,123678,50777,72901,123480,50899,72581,125128,50691,74437,120098,45890,74208,118552,45554,72998,113952,42515,71437,115738,42039,73699,118142,39752,78390
CO,14225,6971,7254,14747,6877,7870,15268,9031,6237,15482,9031,6451,15116,6146,8970,16768,7260,9508,9754,7591,2163,10028,8083,1945,9953,7134,2819,10550,7611,2939
CT,4482,3671,811,4627,4020,607,4605,4103,502,4316,3817,499,4456,3761,695,4209,3514,695,4448,3529,919,4450,3531,919,4047,3421,626,3902,3229,673
DC,5320,4980,340,6044,5666,378,6228,5907,321,6539,6109,430,6546,6241,305,6954,6275,679,6865,6353,512,7748,7352,396,7298,6754,544,8350,8032,318
DE,1061,854,207,933,862,71,1130,1083,47,982,930,52,1035,1013,22,1008,986,22,946,936,10,901,864,37,953,916,37,1070,1019,51
FL,48069,20529,27540,50158,20724,29434,55599,21867,33732,57551,21817,35734,56687,20824,35863,55170,19832,35338,47862,19670,28192,41542,19851,21691,35900,18883,17017,33559,18198,15361
GA,19639,8341,11298,19095,8865,10230,20360,9419,10941,19836,8746,11090,20975,8723,12252,20516,8320,12196,16971,8510,8461,16521,8214,8307,13790,7987,5803,12909,7543,5366
GU,725,103,622,725,103,622,1088,182,906,1635,182,1453,1745,204,1541,1301,187,1114,1271,128,1143,1356,126,1230,1280,87,1193,1085,112,973
HI,6070,2712,3358,6061,2703,3358,5782,3268,2514,5834,3535,2299,6188,3632,2556,6246,3726,2520,6335,3745,2590,6918,3813,3105,7620,3777,3843,7921,3613,4308
IA,2734,2441,293,3346,3087,259,3380,3221,159,3014,2903,111,3134,3013,121,2928,2780,148,3084,2950,134,3122,2926,196,3081,2878,203,3064,2921,143
ID,1749,1125,624,1464,1250,214,1939,1477,462,2346,1564,782,2199,1585,614,1968,1482,486,1781,1404,377,2104,1468,636,1966,1497,469,2247,1509,738
IL,15487,12171,3316,14724,11480,3244,14055,11851,2204,14395,12208,2187,14009,11089,2920,14144,11149,2995,13425,11229,2196,13107,11409,1698,13177,10463,2714,11590,9736,1854
IN,7358,6096,1262,7395,5923,1472,6984,5206,1778,6452,5233,1219,6196,5550,646,6259,5370,889,6096,5396,700,5971,5568,403,5863,5280,583,5798,5107,691
KS,2111,1829,282,1738,1500,238,1892,1696,196,2024,1828,196,2511,2222,289,2684,2350,334,2693,2382,311,2783,2534,249,2588,2283,305,2255,1973,282
KY,8061,5940,2121,8137,6195,1942,5999,5299,700,6623,5599,1024,6034,5183,851,5230,4319,911,5245,4491,754,5089,4258,831,4538,3796,742,4237,3531,706
LA,5494,3917,1577,5481,3700,1781,12504,4118,8386,12482,4096,8386,9291,3405,5886,7772,3807,3965,5226,3651,1575,4606,3503,1103,4081,2890,1191,3994,2853,1141
MA,15127,13713,1414,14506,13437,1069,15482,14476,1006,16646,15595,1051,16664,15961,703,17501,16779,722,19029,18179,850,21237,20478,759,21135,20542,593,19608,18848,760
MD,9628,6418,3210,9219,6054,3165,11698,7446,4252,10845,6515,4330,10208,6496,3712,9454,5942,3512,8205,6283,1922,7856,6267,1589,8390,6594,1796,7689,6161,1528
ME,2638,2576,62,2632,2588,44,2444,2406,38,2379,2351,28,2447,2418,29,2393,2360,33,3016,2954,62,2726,2633,93,2372,2313,59,2241,2121,120
MI,28295,11552,16743,28248,11781,16467,14005,11298,2707,13058,10219,2839,13185,10864,2321,12592,10270,2322,11527,9339,2188,12227,10075,2152,10516,9444,1072,9316,8356,960
MN,7323,5878,1445,7644,6270,1374,7718,6772,946,7869,6730,1139,7495,6567,928,7744,6754,990,8214,7299,915,8377,7582,795,7546,6705,841,7341,6452,889
MO,6247,5137,1110,7687,5607,2080,6959,5469,1490,8122,6336,1786,8989,6718,2271,10237,7893,2344,8581,6501,2080,7282,6309,973,6482,5411,1071,6194,4978,1216
MS,1377,851,526,1961,1206,755,2797,1221,1576,2743,1181,1562,2306,1056,1250,2413,1042,1371,2403,1083,1320,2226,1405,821,1983,1141,842,1738,889,849
MT,1150,855,295,1417,1007,410,1196,833,363,1615,1168,447,1768,1216,552,1833,1153,680,1878,1094,784,1745,911,834,1709,837,872,1418,788,630
NC,11802,7879,3923,12411,8025,4386,12918,8473,4445,12191,9173,3018,12896,9245,3651,13524,8809,4715,12168,9013,3155,11491,8874,2617,10685,8260,2425,9559,7250,2309
ND,636,577,59,615,596,19,773,765,8,799,768,31,603,560,43,688,635,53,2069,674,1395,1258,794,464,1305,819,486,923,707,216
NE,3531,3007,524,3985,3227,758,3718,3079,639,3877,3355,522,3548,3041,507,3789,2957,832,3145,2972,173,3026,2917,109,2744,2621,123,2754,2653,101
NH,2248,1273,975,2019,1535,484,1645,1406,239,1574,1337,237,1469,1159,310,1496,1329,167,1447,1245,202,1376,1243,133,1445,1313,132,1366,1223,143
NJ,17314,14836,2478,13832,11860,1972,13169,11871,1298,13737,12083,1654,14137,12830,1307,13025,11429,1596,12002,10603,1399,11671,10736,935,10098,9124,974,8895,7461,1434
NM,3015,1748,1267,3015,1748,1267,3475,2108,1367,3475,2108,1367,3601,2753,848,3245,2397,848,2819,2391,428,2746,2318,428,2629,2175,454,2263,1809,454
NV,8642,4818,3824,8726,4863,3863,11089,7792,3297,11205,7848,3357,9150,4545,4605,8497,3970,4527,7039,3698,3341,8582,4797,3785,8743,4528,4215,7398,3471,3927
NY,62601,57281,5320,61125,56516,4609,61067,57454,3613,65606,61467,4139,63445,59778,3667,69566,65482,4084,77430,73273,4157,80590,76487,4103,88250,84228,4022,86352,82761,3591
OH,11264,9380,1884,12912,10377,2535,12700,10929,1771,12569,10729,1840,13030,11224,1806,13977,12246,1731,12325,10987,1338,11823,10720,1103,11182,10083,1099,10404,9266,1138
OK,4221,3089,1132,3846,2803,1043,4838,3307,1531,5229,3315,1914,4625,2988,1637,5032,3043,1989,4408,3262,1146,4191,3259,932,3777,2999,778,4107,3087,1020
OR,17590,8329,9261,20653,9946,10707,17309,7442,9867,19492,7231,12261,17254,7012,10242,15828,6545,9283,13822,6432,7390,12164,6101,6063,13226,5831,7395,13238,5236,8002
PA,16220,14741,1479,15378,14079,1299,15096,13819,1277,14516,13418,1098,15096,14036,1060,14736,13660,1076,15086,13727,1359,15333,14301,1032,15421,13993,1428,15339,13664,1675
PR,4309,1368,2941,3012,810,2202,4070,1325,2745,4149,1404,2745,2900,1034,1866,3212,1346,1866,4128,1402,2726,4132,1406,2726,4518,1421,3097,4418,1321,3097
RI,1372,1323,49,1196,1142,54,1607,1556,51,1282,1206,76,1070,1039,31,1277,1249,28,1384,1267,117,1190,1170,20,1111,1075,36,1160,1123,37
SC,5660,3086,2574,5660,3086,2574,4473,3036,1437,4473,3036,1437,5093,2954,2139,4915,2776,2139,6544,3411,3133,5057,3249,1808,5354,3458,1896,5051,3361,1690
SD,579,538,41,579,538,41,731,667,64,731,667,64,826,762,64,859,795,64,1094,755,339,885,830,55,1036,900,136,1072,887,185
TN,11210,6446,4764,9705,5660,4045,10532,7133,3399,10276,6999,3277,9113,5915,3198,9426,5778,3648,9528,6321,3207,9415,6383,3032,9123,5879,3244,8779,5773,3006
TX,39788,22882,16906,40190,24080,16110,36761,21658,15103,35121,19191,15930,36911,18972,17939,34052,17501,16551,29615,17525,12090,28495,18228,10267,23678,16192,7486,23122,16214,6908
UT,3011,2698,313,3434,3178,256,3795,3540,255,3284,2722,562,3130,2687,443,3527,3052,475,3277,2859,418,3081,2768,313,3025,2799,226,2807,2571,236
VA,9746,7567,2179,8469,6895,1574,8852,7284,1568,9080,7439,1641,8816,7386,1430,8424,6995,1429,7625,6603,1022,7020,6330,690,7001,6190,811,6268,5502,766
VI,559,72,487,602,115,487,471,76,395,487,92,395,532,154,378,484,106,378,482,119,363,448,85,363,337,85,252,341,89,252
VT,1035,720,315,954,696,258,1214,1057,157,1220,1078,142,1144,1021,123,1160,937,223,1454,1270,184,1559,1396,163,1523,1373,150,1117,961,156
WA,23379,16857,6522,21954,15456,6498,22782,16237,6545,22878,16489,6389,20439,15075,5364,20504,15027,5477,17760,12707,5053,18442,12540,5902,19419,12298,7121,20827,12361,8466
WI,5648,5085,563,5449,4934,515,6525,5465,1060,6333,5253,1080,5785,5355,430,6027,5446,581,6104,5736,368,6055,5712,343,6057,5615,442,5685,5275,410
WV,2409,2147,262,2016,1422,594,1667,1278,389,2264,1524,740,2211,1405,806,2410,1533,877,2240,1612,628,2013,1583,430,1835,1403,432,1387,1252,135
WY,537,397,140,751,619,132,515,451,64,579,515,64,1038,195,843,1813,475,1338,953,501,452,757,563,194,798,507,291,857,491,366
Total,647258,391401,255857,639784,386361,253423,630227,403308,226919,637077,403543,233534,623788,392316,231472,621553,390155,231398,590364,394698,195666,576450,401051,175399,564708,391440,173268,549928,373571,176357
